,"citrus fruit,semi-finished bread,margarine,ready soups"
5268,"meat,other vegetables,whole milk,hard cheese,fruit/vegetable juice,long life bakery product"
5269,"whole milk,hard cheese,rolls/buns,bottled water"
5270,zwieback
5271,liquor (appetizer)
5272,"pip fruit,whole milk"
5273,canned beer
5274,"Instant food products,soda"
5275,"pork,yogurt"
5276,butter milk
5277,oil
5278,"meat,pork,butter,brown bread,specialty chocolate,kitchen towels"
5279,"tropical fruit,pip fruit,whole milk,cream cheese,frozen vegetables,ice cream,bottled water,shopping bags"
5280,"soda,canned beer"
5281,soda
5282,"meat,whole milk,yogurt"
5283,"frankfurter,tropical fruit,other vegetables,dessert,UHT-milk,cream cheese,brown bread,pastry,hygiene articles"
5284,"whipped/sour cream,frozen vegetables"
5285,"tropical fruit,root vegetables,other vegetables,whole milk,ice cream,pasta,canned vegetables,soda,salty snack"
5286,"sausage,newspapers"
5287,"tropical fruit,whipped/sour cream,hygiene articles"
5288,"pork,processed cheese,canned beer"
5289,"bottled beer,flower (seeds)"
5290,"whole milk,cat food,pet care,coffee,soda,misc. beverages,chocolate"
5291,frozen vegetables
5292,"whole milk,processed cheese,soda,cake bar,chocolate,specialty bar,shopping bags"
5293,"sausage,tropical fruit,root vegetables,other vegetables,hard cheese,fruit/vegetable juice,long life bakery product,waffles"
5294,"pork,other vegetables,whole milk,frozen vegetables,brown bread,roll products,canned vegetables,sparkling wine,chocolate,dental care"
5295,"beef,whole milk,curd,white bread,napkins"
5296,"sausage,chicken,hamburger meat,other vegetables,whole milk,butter milk,whipped/sour cream,white bread"
5297,"tropical fruit,pip fruit,UHT-milk,cream cheese,pasta,sauces,baking powder,cat food,pet care,bottled water,bottled beer,salty snack,shopping bags"
5298,"whole milk,yogurt,domestic eggs,rolls/buns,fruit/vegetable juice,long life bakery product,specialty chocolate,specialty bar"
5299,"bottled water,waffles,chocolate"
5300,"beef,specialty chocolate"
5301,brown bread
5302,bottled beer
5303,"sausage,tropical fruit,yogurt,frozen meals,cat food,bottled water,soda,bottled beer,waffles"
5304,"pip fruit,other vegetables,whole milk,butter,whipped/sour cream,sliced cheese,pastry,hygiene articles,napkins"
5305,"frankfurter,rolls/buns"
5306,"UHT-milk,mustard"
5307,"whole milk,brown bread"
5308,"butter milk,brown bread"
5309,whole milk
5310,"herbs,whole milk,curd,cat food,soda"
5311,"tropical fruit,root vegetables,other vegetables,whole milk,yogurt,rice,oil,bathroom cleaner"
5312,"chicken,rolls/buns,bottled water"
5313,"curd,cream cheese,frozen fruits,margarine,cocoa drinks,soda"
5314,"pork,beef,other vegetables,whole milk,yogurt,margarine,fruit/vegetable juice"
5315,hamburger meat
5316,"hamburger meat,onions,ice cream,misc. beverages,shopping bags"
5317,"root vegetables,onions,dessert,mayonnaise,brown bread,salt,canned fish,bottled water,fruit/vegetable juice,bottled beer,popcorn"
5318,"butter,spread cheese,ice cream,rolls/buns,soda,long life bakery product,chocolate,chocolate marshmallow"
5319,"UHT-milk,sugar,coffee,canned beer"
5320,"whole milk,cat food"
5321,"sausage,meat,chicken,beef,citrus fruit,root vegetables,herbs,whole milk,butter,domestic eggs,roll products,coffee,long life bakery product,waffles"
5322,"canned beer,specialty bar"
5323,"whole milk,rolls/buns,canned beer,chewing gum"
5324,oil
5325,"sausage,meat,berries,onions,other vegetables,soft cheese,hard cheese,cream cheese,mayonnaise,frozen meals,domestic eggs,rolls/buns,mustard,canned fish,shopping bags"
5326,"frankfurter,mayonnaise,margarine,mustard,ketchup,seasonal products"
5327,"sliced cheese,rolls/buns"
5328,"sausage,meat,whole milk,curd,dessert,yogurt,brown bread,dental care,male cosmetics"
5329,"chicken,pip fruit,whole milk,dessert,margarine,soda,canned beer,liquor,newspapers"
5330,"butter milk,yogurt"
5331,"pip fruit,yogurt,cream cheese,meat spreads,coffee,specialty chocolate,seasonal products,cookware,shopping bags"
5332,"sausage,berries,sliced cheese,cream cheese"
5333,"butter,yogurt"
5334,"pork,other vegetables"
5335,cat food
5336,"hamburger meat,berries,other vegetables,UHT-milk,hard cheese,processed cheese,canned vegetables,soda,waffles,specialty bar,newspapers"
5337,"tropical fruit,whole milk,newspapers"
5338,"whole milk,yogurt,beverages,rolls/buns,bottled water,fruit/vegetable juice"
5339,"softener,newspapers"
5340,"rolls/buns,pastry,semi-finished bread"
5341,"tropical fruit,whole milk"
5342,"dessert,soft cheese,brown bread,pastry,soda,long life bakery product,hygiene articles,shopping bags"
5343,newspapers
5344,"hamburger meat,herbs,UHT-milk,domestic eggs,oil,chocolate"
5345,chicken
5346,"other vegetables,whole milk,specialty cheese"
5347,fruit/vegetable juice
5348,"chocolate,specialty bar,candy,napkins,flower (seeds)"
5349,"margarine,misc. beverages"
5350,cling film/bags
5351,"chicken,butter,frozen vegetables,soda,misc. beverages,chocolate,specialty chocolate"
5352,"salt,salty snack"
5353,newspapers
5354,root vegetables
5355,"pip fruit,misc. beverages,chewing gum,specialty chocolate,shopping bags"
5356,"sausage,spread cheese,domestic eggs,soda,shopping bags"
5357,"other vegetables,whole milk,salty snack"
5358,"tropical fruit,pip fruit,root vegetables,onions,other vegetables,whole milk,whipped/sour cream,misc. beverages,fruit/vegetable juice,red/blush wine,salty snack,detergent,shopping bags"
5359,newspapers
5360,"frankfurter,processed cheese,soda"
5361,fruit/vegetable juice
5362,"ham,whole milk,hard cheese,margarine,coffee,fruit/vegetable juice"
5363,"sausage,pork,beef,tropical fruit,other vegetables,whole milk,butter milk,whipped/sour cream,roll products,bottled water,detergent,hygiene articles,napkins,house keeping products"
5364,"frankfurter,beef,whole milk"
5365,"fish,UHT-milk,cream cheese,ice cream"
5366,"chewing gum,specialty bar"
5367,"citrus fruit,rolls/buns,soda,chewing gum,shopping bags"
5368,canned beer
5369,canned beer
5370,canned beer
5371,"UHT-milk,soda,detergent"
5372,"citrus fruit,pip fruit,other vegetables,whole milk,curd,frozen fish,domestic eggs,jam,dishes"
5373,"whole milk,bottled beer,liquor (appetizer),hygiene articles"
5374,citrus fruit
5375,canned beer
5376,dessert
5377,"ham,whole milk,dessert,rolls/buns,misc. beverages,waffles,skin care"
5378,"meat,rolls/buns,misc. beverages"
5379,"pip fruit,rolls/buns,snack products"
5380,"UHT-milk,domestic eggs,rolls/buns,fruit/vegetable juice,newspapers"
5381,canned beer
5382,"other vegetables,whole milk,butter milk,margarine"
5383,"whole milk,butter milk,cream cheese,coffee"
5384,"sausage,pip fruit,root vegetables,whole milk,spread cheese,rolls/buns,margarine,bottled water"
5385,canned beer
5386,"yogurt,rolls/buns"
5387,"root vegetables,UHT-milk,domestic eggs,pasta,margarine,soups,cat food,coffee,bottled water,soda,misc. beverages,sparkling wine,specialty chocolate,specialty bar,seasonal products,female sanitary products,newspapers"
5388,bottled beer
5389,"canned beer,shopping bags"
5390,"pork,tropical fruit,pip fruit,other vegetables,whipped/sour cream,chocolate,chocolate marshmallow,shopping bags"
5391,canned beer
5392,"pip fruit,soda"
5393,"meat,pork,soft cheese,oil,margarine,seasonal products"
5394,"pork,pip fruit,frozen vegetables,brown bread"
5395,"other vegetables,whole milk,mayonnaise,frozen potato products,pastry,margarine,baking powder"
5396,"whole milk,domestic eggs"
5397,"sausage,bottled water"
5398,misc. beverages
5399,"bottled water,newspapers"
5400,"beef,pip fruit,whole milk,butter,curd,yogurt,condensed milk,white bread,detergent"
5401,"tropical fruit,bottled water,white wine,newspapers"
5402,"rolls/buns,brown bread,soda,misc. beverages,bottled beer"
5403,canned beer
5404,"sausage,other vegetables,yogurt,rolls/buns,soda,canned beer"
5405,"sliced cheese,domestic eggs,rolls/buns,bottled water,soda,potted plants"
5406,"pork,other vegetables,whole milk,cream cheese,frozen fish,rolls/buns,pastry"
5407,soda
5408,rolls/buns
5409,"soda,bottled beer"
5410,chocolate
5411,"ham,turkey,frozen vegetables,pastry"
5412,"other vegetables,whole milk,margarine,jam,salty snack,shopping bags"
5413,canned beer
5414,canned beer
5415,canned beer
5416,"tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,curd,yogurt,tea,bottled water,salty snack,kitchen towels,newspapers"
5417,"tropical fruit,whole milk,beverages,soda,salty snack,specialty bar,newspapers"
5418,"canned beer,waffles"
5419,"canned beer,specialty bar"
5420,"bottled water,soda"
5421,"frankfurter,hamburger meat,grapes,other vegetables,whole milk,butter milk,whipped/sour cream,mayonnaise,white bread,roll products,sauces,salty snack,waffles,chocolate"
5422,"tropical fruit,root vegetables,onions,other vegetables,curd,whipped/sour cream,spread cheese,white bread,bottled water,soda"
5423,"liver loaf,other vegetables,butter,yogurt,whipped/sour cream,cream cheese,margarine,baking powder,long life bakery product,bathroom cleaner"
5424,shopping bags
5425,"tropical fruit,other vegetables,cream cheese,baking powder,long life bakery product"
5426,"frankfurter,sausage,organic sausage,white bread,brown bread,waffles,chocolate"
5427,"citrus fruit,curd,yogurt,newspapers"
5428,"whole milk,curd,oil,margarine"
5429,"tropical fruit,berries,root vegetables,butter,UHT-milk,bottled water,soda"
5430,"beef,root vegetables,soda,fruit/vegetable juice,detergent,newspapers"
5431,"fruit/vegetable juice,potted plants"
5432,"frankfurter,sausage,tropical fruit,root vegetables,whole milk,pastry"
5433,"beef,citrus fruit,root vegetables,whole milk,bottled water,newspapers"
5434,"beef,whole milk,pastry,flour,pickled vegetables"
5435,canned beer
5436,canned beer
5437,rolls/buns
5438,"other vegetables,cream cheese"
5439,"sausage,whole milk,spread cheese,mayonnaise,rolls/buns,pastry,pickled vegetables,bottled water,shopping bags"
5440,rolls/buns
5441,"yogurt,frozen dessert,rolls/buns,pastry,soda,fruit/vegetable juice,napkins"
5442,"pork,whole milk,pastry,sugar,newspapers"
5443,"tropical fruit,root vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,margarine,sugar,Instant food products,bottled water"
5444,"rolls/buns,margarine,bottled water,rum,red/blush wine,long life bakery product,waffles,chocolate"
5445,"hamburger meat,whole milk,misc. beverages,red/blush wine"
5446,"pip fruit,pastry"
5447,"whole milk,bottled water,bottled beer,newspapers"
5448,pastry
5449,"whole milk,sugar,cat food"
5450,"sausage,root vegetables,whole milk,whipped/sour cream,rolls/buns,mustard"
5451,canned beer
5452,"beef,rolls/buns"
5453,canned beer
5454,"frankfurter,beef,other vegetables,cream cheese,domestic eggs,baking powder,salty snack,shopping bags"
5455,"pastry,coffee,chewing gum"
5456,"sausage,pork,hard cheese,rolls/buns,pickled vegetables,dish cleaner"
5457,"tropical fruit,bottled water"
5458,whole milk
5459,"sausage,pork,white wine"
5460,"root vegetables,other vegetables,cream cheese,chocolate"
5461,frozen meals
5462,"other vegetables,bottled water,canned beer,chewing gum,newspapers"
5463,"chicken,hamburger meat,herbs,dessert,beverages,oil,soda,dish cleaner"
5464,"bottled water,canned beer"
5465,"whole milk,yogurt"
5466,"whole milk,rolls/buns,bottled water"
5467,"frankfurter,pork,brown bread,potato products"
5468,"beef,hamburger meat,pip fruit,berries,other vegetables,rolls/buns,semi-finished bread,baking powder,white wine,napkins,cling film/bags"
5469,"sausage,berries,rolls/buns,chewing gum,shopping bags"
5470,"sausage,ham,tropical fruit,whole milk,butter,processed cheese,rolls/buns,potato products,rice,margarine,cereals,cat food,fruit/vegetable juice,bottled beer,chocolate,napkins"
5471,candy
5472,"sausage,other vegetables,dessert,yogurt,UHT-milk,cream cheese,frozen vegetables,rolls/buns,brown bread,pastry,specialty bar"
5473,"citrus fruit,dessert,yogurt,UHT-milk,frozen vegetables,frozen fish,zwieback,spices,waffles"
5474,"sausage,ham,sliced cheese,frozen fish,rolls/buns,margarine,mustard"
5475,"other vegetables,whole milk,yogurt,ice cream,brown bread,pastry,soda,newspapers"
5476,"sausage,whole milk,rolls/buns"
5477,"other vegetables,whole milk,rolls/buns,skin care,dishes,flower (seeds)"
5478,canned beer
5479,"detergent,photo/film"
5480,"citrus fruit,tropical fruit,pip fruit,root vegetables,packaged fruit/vegetables,dessert,yogurt,UHT-milk,hard cheese,mayonnaise,domestic eggs,spices,canned vegetables,fruit/vegetable juice,candy"
5481,"beef,root vegetables,herbs,other vegetables,whole milk,butter,rolls/buns,brown bread,bottled beer,long life bakery product,potted plants"
5482,"other vegetables,packaged fruit/vegetables,brown bread,pastry,light bulbs,newspapers"
5483,bottled beer
5484,"other vegetables,whole milk"
5485,"fruit/vegetable juice,waffles"
5486,misc. beverages
5487,"tropical fruit,berries,whole milk,butter,butter milk,brown bread"
5488,"pip fruit,pastry,margarine"
5489,"sausage,chicken,other vegetables,whole milk,whipped/sour cream,domestic eggs,rolls/buns,house keeping products"
5490,"root vegetables,whole milk,hard cheese,sauces,bottled water,fruit/vegetable juice"
5491,"zwieback,cat food,dish cleaner"
5492,"chicken,beef,tropical fruit,other vegetables,soft cheese,pickled vegetables,bottled water,detergent,newspapers"
5493,"tropical fruit,yogurt,UHT-milk,bottled water,soda"
5494,"tropical fruit,butter milk,beverages,bottled water,fruit/vegetable juice,salty snack,chewing gum,napkins,newspapers,shopping bags"
5495,"root vegetables,rolls/buns"
5496,canned beer
5497,"beef,pip fruit,root vegetables,whole milk,soft cheese,bottled beer,detergent"
5498,"hamburger meat,root vegetables,whole milk,yogurt,brown bread,pastry,bottled beer,specialty chocolate,flower (seeds)"
5499,"other vegetables,ice cream,brown bread,soda,house keeping products,newspapers"
5500,liquor (appetizer)
5501,"pip fruit,root vegetables,frozen vegetables,rolls/buns,semi-finished bread,soda,white wine,newspapers"
5502,newspapers
5503,"turkey,tropical fruit,root vegetables,other vegetables,butter,whipped/sour cream,hard cheese,ketchup,fruit/vegetable juice,candy,napkins"
5504,"rolls/buns,margarine,bottled water,bottled beer"
5505,"sausage,soda"
5506,"beef,margarine,bottled beer,flower (seeds)"
5507,"whole milk,yogurt,brown bread,chocolate,newspapers"
5508,"whole milk,rolls/buns,baking powder,chocolate"
5509,"pip fruit,whole milk,frozen vegetables,bottled water"
5510,"meat,whole milk,rolls/buns"
5511,"hamburger meat,whole milk,tidbits,frozen fish,ice cream,sauces,salty snack,kitchen towels"
5512,photo/film
5513,other vegetables
5514,"root vegetables,white bread,brown bread"
5515,"other vegetables,white bread,pickled vegetables,soda,shopping bags"
5516,"citrus fruit,pip fruit,other vegetables,whole milk,frozen vegetables,bottled water"
5517,beef
5518,"frankfurter,whole milk,yogurt,frozen vegetables,coffee,bottled water,bottled beer"
5519,"ham,beef,tropical fruit,cat food"
5520,"soda,bottled beer,specialty bar"
5521,"bottled beer,newspapers"
5522,"soda,bottled beer"
5523,"turkey,pork,beef,herbs,other vegetables,soft cheese,frozen vegetables,rolls/buns,rice"
5524,pork
5525,"citrus fruit,tropical fruit,pip fruit,other vegetables,curd,butter milk,UHT-milk,frozen meals,brown bread,semi-finished bread,spices,fruit/vegetable juice,hygiene articles"
5526,"grapes,other vegetables,whole milk,sugar"
5527,"other vegetables,whole milk,butter,domestic eggs,waffles,candy,seasonal products,detergent"
5528,"root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,flour,long life bakery product,shopping bags"
5529,tropical fruit
5530,rolls/buns
5531,"citrus fruit,other vegetables"
5532,"yogurt,beverages,domestic eggs,rolls/buns,pastry,soda,long life bakery product,chocolate,chocolate marshmallow,napkins"
5533,"chicken,beef,other vegetables"
5534,"tropical fruit,whipped/sour cream,bottled water,soda,bottled beer,potted plants"
5535,"tropical fruit,whole milk,sauces,sweet spreads,chocolate,newspapers"
5536,"other vegetables,hard cheese,newspapers"
5537,"margarine,misc. beverages,bottled beer"
5538,"pork,whole milk,butter,domestic eggs,margarine,ready soups,newspapers"
5539,"frankfurter,hamburger meat,UHT-milk,mayonnaise,rolls/buns,pastry,mustard,ketchup,Instant food products,soda,dish cleaner,dental care,shopping bags"
5540,"ham,chicken,root vegetables,onions,other vegetables,yogurt,whipped/sour cream,sliced cheese,frozen vegetables,frozen meals,ice cream,newspapers"
5541,"cream cheese,coffee,chocolate,candy,make up remover,shopping bags"
5542,bottled water
5543,canned beer
5544,"frozen potato products,rolls/buns,brown bread"
5545,pip fruit
5546,"citrus fruit,root vegetables,other vegetables,coffee,liquor,chocolate,candy,seasonal products,flower (seeds),shopping bags"
5547,"frankfurter,chicken,pork,tropical fruit,pip fruit,yogurt,whipped/sour cream,frozen vegetables,semi-finished bread,zwieback,flour,vinegar,margarine,pickled vegetables,bottled water,soda,waffles,chocolate,chocolate marshmallow,detergent,napkins"
5548,"other vegetables,whole milk,margarine"
5549,"chicken,tropical fruit,root vegetables,other vegetables,whole milk,dessert,yogurt,pastry,newspapers"
5550,"pip fruit,other vegetables,fruit/vegetable juice"
5551,"frankfurter,citrus fruit,other vegetables,butter milk,yogurt,whipped/sour cream,rolls/buns,brown bread,pickled vegetables,canned fish,tea"
5552,"frozen meals,ice cream,frozen potato products"
5553,"root vegetables,onions,whole milk,curd,yogurt,whipped/sour cream,soft cheese,cream cheese,curd cheese,frozen fish,rolls/buns,waffles"
5554,beef
5555,"sausage,fish,curd,processed cheese,pastry"
5556,"whole milk,frozen fish,rolls/buns,pickled vegetables"
5557,"beef,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese,cat food,napkins"
5558,"pork,domestic eggs,soda"
5559,artif. sweetener
5560,"frankfurter,ham,tropical fruit,yogurt,curd cheese,frozen fish,zwieback,margarine,fruit/vegetable juice"
5561,"rolls/buns,canned fish,canned beer"
5562,"canned beer,newspapers"
5563,"mayonnaise,rolls/buns,soda,specialty chocolate"
5564,"rolls/buns,fruit/vegetable juice"
5565,"sausage,sliced cheese,canned beer"
5566,"hard cheese,candles"
5567,"frankfurter,whole milk,white bread,margarine,bottled beer,detergent,potted plants"
5568,"frankfurter,meat,whole milk,whipped/sour cream,UHT-milk,hard cheese,coffee,waffles,napkins"
5569,"bottled water,newspapers"
5570,"sausage,pip fruit,whole milk,white bread,salt,pasta,oil,sugar,bottled water,soda,bottled beer"
5571,whole milk
5572,"citrus fruit,domestic eggs,jam"
5573,pork
5574,"condensed milk,margarine,fruit/vegetable juice,canned beer"
5575,"sausage,finished products,pork,tropical fruit,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese,white bread,baking powder,long life bakery product,house keeping products,potted plants"
5576,"brown bread,canned beer"
5577,"whole milk,butter,coffee,bottled water,seasonal products,candles"
5578,"frankfurter,sausage,rolls/buns,brown bread,soda,shopping bags"
5579,"domestic eggs,specialty chocolate"
5580,"sausage,root vegetables,beverages,rolls/buns,soda"
5581,"other vegetables,whole milk,yogurt,rolls/buns,female sanitary products,hygiene articles"
5582,"pork,semi-finished bread,soda"
5583,"other vegetables,whole milk,curd,whipped/sour cream,frozen vegetables,roll products,semi-finished bread,salty snack,seasonal products"
5584,"frankfurter,citrus fruit,rolls/buns,soda"
5585,"beef,root vegetables,frozen vegetables,brown bread,misc. beverages"
5586,"pork,salad dressing,oil,sauces,coffee,soda,canned beer,liquor (appetizer),candy,newspapers"
5587,"white bread,misc. beverages,long life bakery product"
5588,dessert
5589,"pip fruit,root vegetables,UHT-milk,condensed milk,frozen fish,candy"
5590,"sausage,tropical fruit,whole milk,whipped/sour cream,specialty cheese,soda,skin care"
5591,"frankfurter,rolls/buns,bottled water"
5592,"chicken,grapes,root vegetables,whole milk,domestic eggs,detergent,newspapers"
5593,"chicken,pip fruit,other vegetables,butter,soft cheese,frozen vegetables,long life bakery product,candles"
5594,other vegetables
5595,house keeping products
5596,"pork,whole milk,bottled water,soda,napkins"
5597,bathroom cleaner
5598,"beverages,newspapers"
5599,"butter,brown bread,seasonal products"
5600,"sausage,tropical fruit,pip fruit,whole milk,soft cheese,processed cheese,white bread,pastry,semi-finished bread,oil,mustard,ketchup,soda,misc. beverages,long life bakery product,waffles,chocolate,specialty chocolate,detergent,napkins,house keeping products"
5601,"canned beer,shopping bags"
5602,"salt,cling film/bags"
5603,"beef,root vegetables,whole milk,margarine"
5604,shopping bags
5605,"curd,semi-finished bread,baking powder"
5606,"fruit/vegetable juice,chewing gum"
5607,"sausage,whipped/sour cream,bottled water,potted plants"
5608,"sausage,yogurt"
5609,"sausage,pip fruit,root vegetables,onions,whole milk,butter,dessert,soft cheese,cream cheese,specialty cheese,domestic eggs,salt,pasta,vinegar,oil,mustard,ketchup,canned vegetables,pickled vegetables,canned fish,instant coffee,tea,misc. beverages,bottled beer,white wine,chocolate,abrasive cleaner,hygiene articles"
5610,"grapes,whole milk,butter,rolls/buns,coffee,bottled water,soda,misc. beverages,potted plants"
5611,"frankfurter,whole milk,cream cheese,specialty chocolate"
5612,"berries,other vegetables,yogurt,whipped/sour cream,bottled water,waffles,seasonal products"
5613,"citrus fruit,root vegetables,other vegetables"
5614,canned beer
5615,canned beer
5616,"tropical fruit,curd"
5617,"whole milk,brown bread,dog food,chocolate,hygiene articles,potted plants"
5618,"whole milk,rolls/buns,soda,canned beer,liquor,shopping bags"
5619,"other vegetables,bottled beer,house keeping products"
5620,"citrus fruit,root vegetables,other vegetables,whole milk"
5621,"pork,beef,root vegetables,other vegetables,whole milk,UHT-milk,frozen vegetables,rice,baking powder,dog food,soda"
5622,"beef,other vegetables,whipped/sour cream,newspapers"
5623,"meat,pip fruit,other vegetables,brown bread,roll products,soda"
5624,canned beer
5625,"whole milk,butter,rolls/buns"
5626,"curd cheese,bottled water,white wine"
5627,"citrus fruit,tropical fruit,onions,UHT-milk,specialty fat,instant coffee,bottled water,soda,fruit/vegetable juice,bottled beer,salty snack,newspapers"
5628,cooking chocolate
5629,"whole milk,bottled water"
5630,sugar
5631,"chicken,frozen vegetables,frozen meals,frozen dessert"
5632,"citrus fruit,tropical fruit,other vegetables,whole milk,curd,rolls/buns"
5633,"sausage,chicken,herbs,other vegetables,whole milk,whipped/sour cream,sliced cheese,domestic eggs,rolls/buns,brown bread,margarine,soda,waffles,chocolate marshmallow"
5634,"whole milk,rolls/buns"
5635,whole milk
5636,rolls/buns
5637,"pork,root vegetables,whole milk,domestic eggs,pasta,ketchup,hygiene articles,newspapers"
5638,"root vegetables,onions,whole milk,whipped/sour cream,pickled vegetables"
5639,"citrus fruit,root vegetables,other vegetables,whole milk,margarine,specialty fat,hygiene articles"
5640,"citrus fruit,tropical fruit,whole milk,yogurt,whipped/sour cream,preservation products"
5641,"whole milk,butter milk"
5642,"pork,beef,other vegetables,whipped/sour cream,waffles,chewing gum"
5643,"citrus fruit,other vegetables,bottled water,fruit/vegetable juice,shopping bags"
5644,"frankfurter,pip fruit,root vegetables,other vegetables,curd,butter milk,spread cheese,soups,house keeping products"
5645,"citrus fruit,other vegetables,yogurt"
5646,"sausage,meat,pork,beef,root vegetables,other vegetables,UHT-milk,flour,detergent,shopping bags"
5647,"chicken,curd,butter milk,UHT-milk,rolls/buns,fruit/vegetable juice,newspapers"
5648,"other vegetables,whole milk,yogurt,rolls/buns"
5649,"onions,other vegetables,rolls/buns,coffee,specialty chocolate"
5650,"hamburger meat,dessert,soda,fruit/vegetable juice"
5651,"frankfurter,curd,rolls/buns,brown bread,mustard,candy"
5652,canned beer
5653,"bottled water,canned beer,white wine"
5654,soda
5655,"turkey,other vegetables,butter,rolls/buns,pastry,oil"
5656,"rolls/buns,fruit/vegetable juice"
5657,"frozen vegetables,rolls/buns"
5658,"other vegetables,curd,margarine"
5659,"pork,hamburger meat,tropical fruit,pip fruit,other vegetables,whipped/sour cream,beverages,white bread"
5660,soda
5661,"turkey,root vegetables,other vegetables,whole milk,butter milk,UHT-milk,brown bread,bottled water"
5662,"sausage,rolls/buns,pastry,bottled water"
5663,"whole milk,whipped/sour cream,domestic eggs,white bread,photo/film"
5664,newspapers
5665,coffee
5666,"hamburger meat,root vegetables,other vegetables,whole milk,sliced cheese"
5667,"turkey,pip fruit,other vegetables,whole milk,frozen vegetables"
5668,"sausage,tropical fruit,other vegetables,beverages,processed cheese,rolls/buns,soda,chewing gum"
5669,"whole milk,butter milk,salt,sugar,soda,long life bakery product,waffles"
5670,"sausage,pork,hamburger meat,citrus fruit,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,sugar,cat food,chocolate"
5671,"other vegetables,whole milk,bottled water"
5672,shopping bags
5673,"pork,whole milk,curd cheese,frozen vegetables,cat food"
5674,"pork,soda"
5675,"beef,hamburger meat,other vegetables,sliced cheese"
5676,"sausage,chicken,tropical fruit,berries,root vegetables,onions,whole milk,butter,yogurt,hard cheese,domestic eggs,vinegar,spices,long life bakery product,dish cleaner,newspapers"
5677,"whole milk,bottled beer"
5678,soda
5679,canned beer
5680,"beef,berries,root vegetables,onions,flour,mustard,soda,bottled beer,salty snack,popcorn"
5681,"frankfurter,finished products,chicken,other vegetables,whole milk,curd,flour,pasta,salty snack"
5682,other vegetables
5683,"other vegetables,whole milk,curd,yogurt,cream cheese,pastry,salty snack"
5684,"root vegetables,whole milk,domestic eggs,female sanitary products,newspapers"
5685,"pip fruit,soda,bottled beer,canned beer,waffles,chocolate"
5686,"sausage,pork,tropical fruit,root vegetables,herbs,whole milk,curd,yogurt,whipped/sour cream,chewing gum,male cosmetics,newspapers"
5687,"other vegetables,butter,soda,bottled beer,liquor,rum,chocolate marshmallow,hygiene articles,newspapers"
5688,pork
5689,"meat,whole milk,sliced cheese,brown bread,pastry,fruit/vegetable juice,newspapers"
5690,"pork,other vegetables,whole milk,butter,whipped/sour cream,hard cheese,cat food,pet care,coffee,liquor,napkins,dishes,kitchen towels"
5691,"dessert,rolls/buns,napkins,newspapers,shopping bags"
5692,"other vegetables,cream cheese,margarine,canned vegetables,bottled beer"
5693,"condensed milk,rolls/buns,brown bread,coffee,bottled water,soda"
5694,"ice cream,brown bread"
5695,"chicken,whole milk,frozen meals,domestic eggs,brown bread,ketchup,dog food,misc. beverages,napkins"
5696,"root vegetables,whole milk,condensed milk,frozen vegetables,rolls/buns,white bread"
5697,"frankfurter,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,dessert,whipped/sour cream,soft cheese,cream cheese,frozen vegetables,frozen meals,frozen potato products,domestic eggs,white bread,semi-finished bread,oil,instant coffee,soda,fruit/vegetable juice,flower (seeds)"
5698,hamburger meat
5699,"UHT-milk,ice cream,bottled water,soda,shopping bags"
5700,"frankfurter,sausage,chicken,citrus fruit,root vegetables,other vegetables,frozen vegetables,rice,newspapers"
5701,"pastry,soda"
5702,"other vegetables,rolls/buns,bottled beer"
5703,"onions,other vegetables,soda,fruit/vegetable juice"
5704,"pastry,canned beer,male cosmetics,newspapers"
5705,"citrus fruit,root vegetables,whole milk,yogurt,whipped/sour cream,condensed milk,rolls/buns,flour,long life bakery product"
5706,hamburger meat
5707,"chicken,citrus fruit,root vegetables,other vegetables,butter,sweet spreads,coffee"
5708,"whole milk,white bread,flour,sugar,potted plants"
5709,"chicken,whole milk,semi-finished bread,jam,coffee,soda,napkins,shopping bags"
5710,shopping bags
5711,"citrus fruit,root vegetables,margarine,misc. beverages,long life bakery product,waffles"
5712,"citrus fruit,root vegetables,herbs,other vegetables,butter,whipped/sour cream,mayonnaise,rum,waffles"
5713,"chicken,yogurt,whipped/sour cream,frozen dessert,soda,potted plants"
5714,bottled beer
5715,specialty chocolate
5716,"other vegetables,whole milk,yogurt"
5717,"pork,root vegetables,whole milk,UHT-milk,frozen meals,softener,shopping bags"
5718,whole milk
5719,"beef,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,mayonnaise"
5720,"sausage,meat,tropical fruit,rolls/buns,margarine,bottled water,bottled beer,skin care,hygiene articles,shopping bags"
5721,"root vegetables,herbs,other vegetables,whole milk,butter milk,whipped/sour cream,shopping bags"
5722,"chicken,pip fruit,whole milk,rolls/buns,brown bread,pastry,semi-finished bread,margarine,bottled water,newspapers"
5723,"turkey,beef,other vegetables,whipped/sour cream,baking powder,cat food,chocolate"
5724,soda
5725,"root vegetables,herbs,whole milk,butter,curd,rolls/buns,soda,chocolate,candy"
